song_id,song_name,artists,genres
10139587,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,"dfw rap,melodic rap,pop,rap,trap"
10001151,"thank u, next",Ariana Grande,"dance pop,pop,post-teen pop"
10138723,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,"piano rock,viral pop"
9920215,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,mandopop
9893795,Without Me,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
10175311,Wow.,Post Malone,"dfw rap,melodic rap,pop,rap"
10146959,百年樹木,Hins Cheung,"c-pop,cantopop,mandopop"
10040868,SOLO,JENNIE,k-pop
9968691,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding; Diplo; Swae Lee,"bmore,edm,moombahton,ninja,pop,dance pop,edm,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop,trap"
10139500,imagine,Ariana Grande,"dance pop,pop,post-teen pop"
10136753,龍舌蘭,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
9729803,Sweet but Psycho,Ava Max,"dance pop,pop,post-teen pop"
10011572,(一個男人) 一個女人 和浴室,Louis Koo; Kay Tse,"c-pop,cantopop,cantopop"
9900139,Shallow,Lady Gaga; Bradley Cooper,"dance pop,pop,hollywood"
10136746,漸漸,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
9939446,Saturday Nights,Khalid,pop
10124408,認真如初,Jason Chan,"c-pop,cantopop"
10012585,Bad Liar,Imagine Dragons,"modern rock,rock"
9897706,Always Remember Us This Way,Lady Gaga,"dance pop,pop"
10136664,我們萬歲,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
9368852,Girls Like You (feat. Cardi B),Maroon 5; Cardi B,"pop,pop,rap"
9729660,Happier,Marshmello; Bastille,"brostep,progressive electro house,metropopolis,modern rock,pop"
6322965,Chun Qiu,Hins Cheung,"c-pop,cantopop,mandopop"
10064688,永遠飛行模式,Dear Jane,"c-pop,cantopop"
10096662,Going Bad (feat. Drake),Meek Mill; Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap"
9772540,未來見,RubberBand,c-pop
10137325,勇悍・17,Juno Mak,"c-pop,cantopop,chinese indie"
10118857,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop,pop,dance pop,edm,pop,tropical house"
10182308,睡皇后,G.E.M.,"cantopop,mandopop"
9381630,心之科學,Joey Yung,"c-pop,cantopop"
9942902,Better,Khalid,pop
9943071,Kiss and Make Up,Dua Lipa; BLACKPINK,"dance pop,pop,post-teen pop,uk pop,k-pop,k-pop girl group"
767676,說散就散,JC 陳詠桐,"cantopop,mandopop"
7758184,等你下課,Jay Chou; Gary Yang,"c-pop,mandopop,taiwan pop,taiwan pop"
10167663,"但願人長久 - 劇集 """"跳躍生命線"""" 插曲",HANA,cantopop
5182482,Shape of You,Ed Sheeran,"pop,uk pop"
10052492,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur; Anne-Marie,"dance pop,pop,post-teen pop,talent show,uk pop,dance pop,pop,post-teen pop,tropical house,uk pop"
10004870,在月台上等你,Janice Vidal,"c-pop,cantopop"
9410414,High Hopes,Panic! At The Disco,"baroque pop,emo,modern rock,pop punk"
7613142,Havana,Camila Cabello; Young Thug,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,dance pop,pop,post-teen pop"
9938372,Ruin My Life,Zara Larsson,"dance pop,edm,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house"
9664116,SICKO MODE,Travis Scott,"pop,pop rap,rap"
9811676,一個女人和浴室,Kay Tse,"c-pop,cantopop"
10095464,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,"dance pop,pop,dance pop,pop,post-teen pop"
9564088,別𠱁我,JC 陳詠桐,"cantopop,mandopop"
10145638,Darkside,Alan Walker; Au/Ra; Tomine Harket,"electro house,deep pop edm,indie poptimism,pop,norwegian pop"
767315,告白氣球,Jay Chou,"c-pop,mandopop,taiwan pop"
5182483,Perfect,Ed Sheeran,"pop,uk pop"
5516301,Something Just Like This,The Chainsmokers; Coldplay,"permanent wave,pop,electropop,pop,tropical house"
4092285,Ying Hua Shu Xia,Hins Cheung,"c-pop,cantopop,mandopop"
9662554,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,"dance pop,pop,post-teen pop,dance pop,pop,post-teen pop"
9874724,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake; Selena Gomez; Ozuna; Cardi B,"dance pop,pop,post-teen pop,electronic trap,puerto rican pop,reggaeton,trap latino,pop,rap"
10139630,This Feeling,The Chainsmokers; Kelsea Ballerini,"electropop,pop,tropical house,contemporary country"
9969350,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,"reggaeton,emo rap,miami hip hop,emo rap,miami hip hop,trap,trap"
8378126,Better Now,Post Malone,"dfw rap,melodic rap,pop,rap"
